Name,NetWorth,Country,Source,Rank,Age,Industry,Continent
Jeff Bezos,$177 B,United States,Amazon,1,57,Technology,North America
Elon Musk,$151 B,United States,"Tesla, SpaceX",2,49,Automotive,North America
Bernard Arnault & family,$150 B,France,LVMH,3,72,Fashion & Retail,Western Europe
Bill Gates,$124 B,United States,Microsoft,4,65,Technology,North America
Mark Zuckerberg,$97 B,United States,Facebook,5,36,Technology,North America
Warren Buffett,$96 B,United States,Berkshire Hathaway,6,90,Finance & Investments,North America
Larry Ellison,$93 B,United States,software,7,76,Technology,North America
Larry Page,$91.5 B,United States,Google,8,48,Technology,North America
Sergey Brin,$89 B,United States,Google,9,47,Technology,North America
Mukesh Ambani,$84.5 B,India,diversified,10,63,Diversified,Asia
Amancio Ortega,$77 B,Spain,Zara,11,85,Fashion & Retail,Europe
Francoise Bettencourt Meyers & family,$73.6 B,France,L'Or̩al,12,67,Fashion & Retail,Europe
Zhong Shanshan,$68.9 B,China,"beverages, pharmaceuticals",13,66,Food & Beverage,Asia
Steve Ballmer,$68.7 B,United States,Microsoft,14,65,Technology,North America
Ma Huateng,$65.8 B,China,internet media,15,49,Technology,Asia
Carlos Slim Helu & family,$62.8 B,Mexico,telecom,16,81,Telecom,North America
Alice Walton,$61.8 B,United States,Walmart,17,71,Fashion & Retail,North America
Jim Walton,$60.2 B,United States,Walmart,18,72,Fashion & Retail,North America
Rob Walton,$59.5 B,United States,Walmart,19,76,Fashion & Retail,North America
Michael Bloomberg,$59 B,United States,Bloomberg LP,20,79,Media & Entertainment,North America
Colin Zheng Huang,$55.3 B,China,e-commerce,21,41,Technology,Asia
MacKenzie Scott,$53 B,United States,Amazon,22,50,Technology,North America
Daniel Gilbert,$51.9 B,United States,Quicken Loans,23,59,Finance & Investments,North America
Gautam Adani & family,$50.5 B,India,"infrastructure, commodities",24,58,Diversified,Asia
Phil Knight & family,$49.9 B,United States,Nike,25,83,Fashion & Retail,North America
Jack Ma,$48.4 B,China,e-commerce,26,56,Technology,Asia
Charles Koch,$46.4 B,United States,Koch Industries,27,85,Diversified,North America
Julia Koch & family,$46.4 B,United States,Koch Industries,27,58,Diversified,North America
Masayoshi Son,$45.4 B,Japan,"internet, telecom",29,63,Telecom,Asia
Michael Dell,$45.1 B,United States,Dell computers,30,56,Technology,North America
Tadashi Yanai & family,$44.1 B,Japan,fashion retail,31,72,Fashion & Retail,Asia
Fran̤ois Pinault & family,$42.3 B,France,luxury goods,32,84,Fashion & Retail,Europe
David Thomson & family,$41.8 B,Canada,media,33,63,Media & Entertainment,North America
Beate Heister & Karl Albrecht Jr.,$39.2 B,Germany,supermarkets,34,69,Fashion & Retail,Europe
Wang Wei,$39 B,China,package delivery,35,50,Service,Asia
Miriam Adelson,$38.2 B,United States,casinos,36,75,Gambling & Casinos,North America
He Xiangjian,$37.7 B,China,home appliances,37,78,Manufacturing,Asia
Dieter Schwarz,$36.9 B,Germany,retail,38,81,Fashion & Retail,Europe
Zhang Yiming,$35.6 B,China,TikTok,39,37,Technology,Asia
Giovanni Ferrero,$35.1 B,Italy,"Nutella, chocolates",40,56,Food & Beverage,Europe
Alain Wertheimer,$34.5 B,France,Chanel,41,72,Fashion & Retail,Europe
Gerard Wertheimer,$34.5 B,France,Chanel,41,70,Fashion & Retail,Europe
Li Ka-shing,$33.7 B,Hong Kong,diversified,43,92,Diversified,Asia
Qin Yinglin & family,$33.5 B,China,pig breeding,44,55,Food & Beverage,Asia
William Lei Ding,$33 B,China,online games,45,49,Technology,Asia
Len Blavatnik,$32 B,United States,"music, chemicals",46,63,Diversified,North America
Lee Shau Kee,$31.7 B,Hong Kong,real estate,47,93,Real Estate,Asia
Jacqueline Mars,$31.3 B,United States,"candy, pet food",48,81,Food & Beverage,North America
John Mars,$31.3 B,United States,"candy, pet food",48,85,Food & Beverage,North America
Yang Huiyan & family,$29.6 B,China,real estate,50,39,Real Estate,Asia
Alexey Mordashov & family,$29.1 B,Russia,"steel, investments",51,55,Metals & Mining,Europe and Asia
Robin Zeng,$28.4 B,Hong Kong,batteries,52,52,Energy,Asia
Hui Ka Yan,$27.7 B,China,real estate,53,62,Real Estate,Asia
Susanne Klatten,$27.7 B,Germany,"BMW, pharmaceuticals",53,58,Automotive,Europe
Vladimir Potanin,$27 B,Russia,metals,55,60,Metals & Mining,Europe and Asia
Dietrich Mateschitz,$26.9 B,Austria,Red Bull,56,76,Food & Beverage,Europe
Pang Kang,$26.4 B,China,soy sauce,57,65,Food & Beverage,Asia
Klaus-Michael Kuehne,$26.3 B,Germany,shipping,58,83,Logistics,Europe
Vladimir Lisin,$26.2 B,Russia,"steel, transport",59,64,Metals & Mining,Europe and Asia
Wang Xing,$26.1 B,China,e-commerce,60,42,Technology,Asia
German Larrea Mota Velasco & family,$25.9 B,Mexico,mining,61,67,Metals & Mining,North America
Leonardo Del Vecchio & family,$25.8 B,Italy,eyeglasses,62,85,Fashion & Retail,Europe
Takemitsu Takizaki,$25.8 B,Japan,sensors,62,75,Manufacturing,Asia
Leonard Lauder,$25.5 B,United States,Estee Lauder,64,88,Fashion & Retail,North America
Thomas Peterffy,$25 B,United States,discount brokerage,65,76,Finance & Investments,North America
Vagit Alekperov,$24.9 B,Russia,oil,66,70,Energy,Europe and Asia
Leonid Mikhelson,$24.9 B,Russia,"gas, chemicals",66,65,Energy,Europe and Asia
Jim Simons,$24.6 B,United States,hedge funds,68,82,Finance & Investments,North America
Jiang Rensheng & family,$24.4 B,China,vaccines,69,67,Healthcare,Asia
Gina Rinehart,$23.6 B,Australia,mining,70,67,Metals & Mining,Australia
Rupert Murdoch & family,$23.5 B,United States,"newspapers, TV network",71,90,Media & Entertainment,North America
Shiv Nadar,$23.5 B,India,software services,71,75,Technology,Asia
Zhang Zhidong,$23.4 B,China,internet media,73,49,Technology,Asia
Iris Fontbona & family,$23.3 B,Chile,mining,74,78,Metals & Mining,South America
Lei Jun,$23 B,China,smartphones,75,51,Technology,Asia
Zhang Yong,$23 B,Singapore,restaurants,75,50,Food & Beverage,Asia
Richard Qiangdong Liu,$22.4 B,China,e-commerce,77,47,Technology,Asia
Gennady Timchenko,$22 B,Russia,"oil, gas",78,68,Energy,Europe and Asia
Stephen Schwarzman,$21.9 B,United States,investments,79,74,Finance & Investments,North America
Goh Cheng Liang,$21.7 B,Singapore,paints,80,93,Manufacturing,Asia
Stefan Quandt,$21.6 B,Germany,BMW,81,54,Automotive,Europe
Li Xiting,$21.5 B,Singapore,medical devices,82,70,Healthcare,Asia
Pierre Omidyar,$21.4 B,United States,"eBay, PayPal",83,53,Technology,North America
Stefan Persson,$21.3 B,Sweden,H&M,84,73,Fashion & Retail,Europe
Abigail Johnson,$20.9 B,United States,money management,85,59,Finance & Investments,North America
R. Budi Hartono,$20.5 B,Indonesia,"banking, tobacco",86,80,Finance & Investments,Asia
Andrew Forrest,$20.4 B,Australia,mining,87,59,Metals & Mining,Australia
Ray Dalio,$20.3 B,United States,hedge funds,88,71,Finance & Investments,North America
Michael Hartono,$19.7 B,Indonesia,"banking, tobacco",89,81,Manufacturing,Asia
Li Shufu,$19.7 B,China,automobiles,89,57,Automotive,Asia
Zhong Huijuan,$19.7 B,China,pharmaceuticals,89,60,Healthcare,Asia
Xu Hang,$19.5 B,Hong Kong,medical devices,92,54,Healthcare,Asia
Lui Che Woo & family,$19.4 B,Hong Kong,casinos/hotels,93,92,Gambling & Casinos,Asia
Emmanuel Besnier,$19.1 B,France,cheese,94,50,Food & Beverage,Europe
Laurene Powell Jobs & family,$19 B,United States,"Apple, Disney",95,57,Technology,North America
Eric Schmidt,$18.9 B,United States,Google,96,65,Technology,North America
Sun Piaoyang,$18.9 B,China,pharmaceuticals,96,62,Healthcare,Asia
"Theo Albrecht, Jr. & family",$18.8 B,Germany,"Aldi, Trader Joe's",98,70,Fashion & Retail,Europe
Alisher Usmanov,$18.4 B,Russia,"steel, telecom, investments",99,67,Metals & Mining,Europe and Asia
Robert Pera,$18.3 B,United States,wireless networking gear,100,43,Technology,North America
Wu Yajun,$18.3 B,China,real estate,100,57,Real Estate,Asia
Fan Hongwei & family,$18.2 B,China,petrochemicals,102,54,Energy,Asia
Dhanin Chearavanont,$18.1 B,Thailand,diversified,103,81,Diversified,Asia
Peter Woo,$18 B,Hong Kong,real estate,104,74,Real Estate,Asia
Chen Bang,$17.9 B,China,hospitals,105,55,Healthcare,Asia
Andrey Melnichenko,$17.9 B,Russia,"coal, fertilizers",105,49,Energy,Europe and Asia
Dustin Moskovitz,$17.8 B,United States,Facebook,107,36,Technology,North America
Su Hua,$17.8 B,China,video streaming,107,39,Media & Entertainment,Asia
Donald Newhouse,$17.6 B,United States,media,109,91,Media & Entertainment,North America
Petr Kellner,$17.5 B,Czechia,"finance, telecommunications",110,56,Finance & Investments,Europe
Lee Man Tat,$17.4 B,Hong Kong,food,111,91,Food & Beverage,Asia
